file_path,category,scientific_status,purpose,preserve_reason
docs/LEVEL_7_MULTISTEP_HARDENING.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_MULTISTEP_HARDENING.md,Preserved in repository
docs/LEVEL_7_NORMALIZATION_RECONCILIATION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_NORMALIZATION_RECONCILIATION.md,Preserved in repository
docs/LEVEL_7_NOVELTY_MATRIX.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_NOVELTY_MATRIX.md,Preserved in repository
docs/LEVEL_7_NOVELTY_MATRIX_FINAL.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_NOVELTY_MATRIX_FINAL.md,Preserved in repository
docs/LEVEL_7_OAA_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_OAA_ANALYSIS.md,Preserved in repository
docs/LEVEL_7_RESEARCH_DIARY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_RESEARCH_DIARY.md,Preserved in repository
docs/LEVEL_7_RESEARCH_QUESTION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_RESEARCH_QUESTION.md,Preserved in repository
docs/LEVEL_7_RESOURCE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_RESOURCE_ANALYSIS.md,Preserved in repository
docs/LEVEL_7_RESOURCE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_RESOURCE_AUDIT.md,Preserved in repository
docs/LEVEL_7_TENSOR_INVARIANCE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_TENSOR_INVARIANCE.md,Preserved in repository
docs/LEVEL_7_THESIS_CONTRIBUTIONS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_THESIS_CONTRIBUTIONS.md,Preserved in repository
docs/LEVEL_7_THESIS_DEFENSE_QA.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_THESIS_DEFENSE_QA.md,Preserved in repository
docs/PHASE_F0_BASELINE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F0_BASELINE_AUDIT.md,Preserved in repository
docs/PHASE_F10_BASELINE_FREEZE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F10_BASELINE_FREEZE.md,Preserved in repository
docs/PHASE_F10_BOUNDARY_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F10_BOUNDARY_ARCHITECTURE.md,Preserved in repository
docs/PHASE_F10_BOUNDARY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F10_BOUNDARY_AUDIT.md,Preserved in repository
docs/PHASE_F10_PHYSICAL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F10_PHYSICAL_VALIDATION.md,Preserved in repository
docs/PHASE_F11_BASELINE_FREEZE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F11_BASELINE_FREEZE.md,Preserved in repository
docs/PHASE_F11_ERROR_LOCALIZATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F11_ERROR_LOCALIZATION.md,Preserved in repository
docs/PHASE_F11_MULTIPHASE_COUPLING.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F11_MULTIPHASE_COUPLING.md,Preserved in repository
docs/PHASE_F11_QUANTUM_HYBRID_CLASSIFICATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F11_QUANTUM_HYBRID_CLASSIFICATION.md,Preserved in repository
docs/PHASE_F11_SCALED_DAMBREAK_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F11_SCALED_DAMBREAK_VALIDATION.md,Preserved in repository
docs/PHASE_F12_AUTONOMOUS_SOLVER_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F12_AUTONOMOUS_SOLVER_AUDIT.md,Preserved in repository
docs/PHASE_F12_BASELINE_FREEZE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F12_BASELINE_FREEZE.md,Preserved in repository
docs/PHASE_F12_COHERENT_TIMESTEP.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F12_COHERENT_TIMESTEP.md,Preserved in repository
docs/PHASE_F12_PARAMETER_ORACLE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F12_PARAMETER_ORACLE.md,Preserved in repository
docs/PHASE_F12_QUANTUM_FORCE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F12_QUANTUM_FORCE.md,Preserved in repository
docs/PHASE_F12_QUANTUM_MOMENTS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F12_QUANTUM_MOMENTS.md,Preserved in repository
docs/PHASE_F13_AUTONOMOUS_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F13_AUTONOMOUS_AUDIT.md,Preserved in repository
docs/PHASE_F13_BASELINE_FREEZE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F13_BASELINE_FREEZE.md,Preserved in repository
docs/PHASE_F13_COHERENT_COLLISION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F13_COHERENT_COLLISION.md,Preserved in repository
docs/PHASE_F13_COHERENT_FORCE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F13_COHERENT_FORCE.md,Preserved in repository
docs/PHASE_F13_COHERENT_MOMENTS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F13_COHERENT_MOMENTS.md,Preserved in repository
docs/PHASE_F13_COHERENT_PARAMETERS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F13_COHERENT_PARAMETERS.md,Preserved in repository
docs/PHASE_F13_COHERENT_TIMESTEP.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F13_COHERENT_TIMESTEP.md,Preserved in repository
docs/PHASE_F14_FORENSIC_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F14_FORENSIC_AUDIT.md,Preserved in repository
docs/PHASE_F14_MATHEMATICAL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F14_MATHEMATICAL_VALIDATION.md,Preserved in repository
docs/PHASE_F14_QUANTUM_ONLY_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F14_QUANTUM_ONLY_ARCHITECTURE.md,Preserved in repository
docs/PHASE_F15_AUTONOMOUS_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_AUTONOMOUS_ARCHITECTURE.md,Preserved in repository
docs/PHASE_F15_CARLEMAN_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_CARLEMAN_ANALYSIS.md,Preserved in repository
docs/PHASE_F15_ERROR_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_ERROR_ANALYSIS.md,Preserved in repository
docs/PHASE_F15_FINAL_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_FINAL_AUDIT.md,Preserved in repository
docs/PHASE_F15_FORENSIC_GATE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_FORENSIC_GATE.md,Preserved in repository
docs/PHASE_F15_MATHEMATICAL_FORMULATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_MATHEMATICAL_FORMULATION.md,Preserved in repository
docs/PHASE_F15_QUANTUM_EMBEDDING.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_QUANTUM_EMBEDDING.md,Preserved in repository
docs/PHASE_F15_RESOURCE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F15_RESOURCE_ANALYSIS.md,Preserved in repository
docs/PHASE_F16_ARCHITECTURE_COMPARISON.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_ARCHITECTURE_COMPARISON.md,Preserved in repository
docs/PHASE_F16_AUTONOMY_DEFINITION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_AUTONOMY_DEFINITION.md,Preserved in repository
docs/PHASE_F16_CARLEMAN_ROUTE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_CARLEMAN_ROUTE.md,Preserved in repository
docs/PHASE_F16_CSF_INVESTIGATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_CSF_INVESTIGATION.md,Preserved in repository
docs/PHASE_F16_ENCODING_ROUTE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_ENCODING_ROUTE.md,Preserved in repository
docs/PHASE_F16_FINAL_DECISION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_FINAL_DECISION.md,Preserved in repository
docs/PHASE_F16_MATHEMATICAL_INVESTIGATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_MATHEMATICAL_INVESTIGATION.md,Preserved in repository
docs/PHASE_F16_QSVT_ROUTE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_QSVT_ROUTE.md,Preserved in repository
docs/PHASE_F16_REVERSIBLE_ARITHMETIC_ROUTE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_REVERSIBLE_ARITHMETIC_ROUTE.md,Preserved in repository
docs/PHASE_F16_REVERSIBLE_COLLISION_ROUTE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F16_REVERSIBLE_COLLISION_ROUTE.md,Preserved in repository
docs/PHASE_F17_AUTONOMOUS_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_AUTONOMOUS_ARCHITECTURE.md,Preserved in repository
docs/PHASE_F17_AUTONOMY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_AUTONOMY_AUDIT.md,Preserved in repository
docs/PHASE_F17_ERROR_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_ERROR_ANALYSIS.md,Preserved in repository
docs/PHASE_F17_FINAL_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_FINAL_AUDIT.md,Preserved in repository
docs/PHASE_F17_FIXED_POINT_MODEL.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_FIXED_POINT_MODEL.md,Preserved in repository
docs/PHASE_F17_RESOURCE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_RESOURCE_ANALYSIS.md,Preserved in repository
docs/PHASE_F17_REVERSIBLE_COLLISION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_REVERSIBLE_COLLISION.md,Preserved in repository
docs/PHASE_F17_REVERSIBLE_PRIMITIVES.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F17_REVERSIBLE_PRIMITIVES.md,Preserved in repository
docs/PHASE_F18_AUTONOMY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_AUTONOMY_AUDIT.md,Preserved in repository
docs/PHASE_F18_BIJECTIVITY_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_BIJECTIVITY_ANALYSIS.md,Preserved in repository
docs/PHASE_F18_CSF_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_CSF_AUDIT.md,Preserved in repository
docs/PHASE_F18_FINAL_DECISION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_FINAL_DECISION.md,Preserved in repository
docs/PHASE_F18_FORENSIC_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_FORENSIC_AUDIT.md,Preserved in repository
docs/PHASE_F18_PHYSICAL_EQUIVALENCE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_PHYSICAL_EQUIVALENCE.md,Preserved in repository
docs/PHASE_F18_RESOURCE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_RESOURCE_AUDIT.md,Preserved in repository
docs/PHASE_F18_REVERSIBILITY_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_REVERSIBILITY_ANALYSIS.md,Preserved in repository
docs/PHASE_F18_TWO_PHASE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F18_TWO_PHASE_AUDIT.md,Preserved in repository
docs/PHASE_F19_AUTONOMY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_AUTONOMY_AUDIT.md,Preserved in repository
docs/PHASE_F19_BGK_INFORMATION_LOSS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_BGK_INFORMATION_LOSS.md,Preserved in repository
docs/PHASE_F19_COMPUTE_OUTPUT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_COMPUTE_OUTPUT.md,Preserved in repository
docs/PHASE_F19_CSF_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_CSF_AUDIT.md,Preserved in repository
docs/PHASE_F19_ENVIRONMENT_EMBEDDING.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_ENVIRONMENT_EMBEDDING.md,Preserved in repository
docs/PHASE_F19_FINAL_DECISION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_FINAL_DECISION.md,Preserved in repository
docs/PHASE_F19_INFORMATION_ACCOUNTING.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_INFORMATION_ACCOUNTING.md,Preserved in repository
docs/PHASE_F19_MASTER_REPORT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_MASTER_REPORT.md,Preserved in repository
docs/PHASE_F19_MODE_RETENTION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_MODE_RETENTION.md,Preserved in repository
docs/PHASE_F19_PHYSICAL_EQUIVALENCE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_PHYSICAL_EQUIVALENCE.md,Preserved in repository
docs/PHASE_F19_RESOURCE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_RESOURCE_AUDIT.md,Preserved in repository
docs/PHASE_F19_SUPERPOSITION_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_SUPERPOSITION_ANALYSIS.md,Preserved in repository
docs/PHASE_F19_TWO_PHASE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F19_TWO_PHASE_AUDIT.md,Preserved in repository
docs/PHASE_F20_BGK_CHANNEL_DEFINITION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_BGK_CHANNEL_DEFINITION.md,Preserved in repository
docs/PHASE_F20_CHOI_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_CHOI_AUDIT.md,Preserved in repository
docs/PHASE_F20_ENTANGLEMENT_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_ENTANGLEMENT_AUDIT.md,Preserved in repository
docs/PHASE_F20_ENVIRONMENT_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_ENVIRONMENT_AUDIT.md,Preserved in repository
docs/PHASE_F20_FINAL_DECISION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_FINAL_DECISION.md,Preserved in repository
docs/PHASE_F20_KRAUS_DERIVATION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_KRAUS_DERIVATION.md,Preserved in repository
docs/PHASE_F20_MASTER_REPORT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_MASTER_REPORT.md,Preserved in repository
docs/PHASE_F20_MULTISTEP_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_MULTISTEP_AUDIT.md,Preserved in repository
docs/PHASE_F20_RESOURCE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_RESOURCE_AUDIT.md,Preserved in repository
docs/PHASE_F20_SUPERPOSITION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_SUPERPOSITION_AUDIT.md,Preserved in repository
docs/PHASE_F20_TWO_PHASE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F20_TWO_PHASE_AUDIT.md,Preserved in repository
docs/PHASE_F21_AUTONOMY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_AUTONOMY_AUDIT.md,Preserved in repository
docs/PHASE_F21_CSF_CHANNEL.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_CSF_CHANNEL.md,Preserved in repository
docs/PHASE_F21_CURVATURE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_CURVATURE.md,Preserved in repository
docs/PHASE_F21_DAM_BREAK_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_DAM_BREAK_AUDIT.md,Preserved in repository
docs/PHASE_F21_ENTANGLEMENT_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_ENTANGLEMENT_AUDIT.md,Preserved in repository
docs/PHASE_F21_FINAL_DECISION.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_FINAL_DECISION.md,Preserved in repository
docs/PHASE_F21_FIXED_POINT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_FIXED_POINT.md,Preserved in repository
docs/PHASE_F21_FORCE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_FORCE_AUDIT.md,Preserved in repository
docs/PHASE_F21_GRADIENT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_GRADIENT.md,Preserved in repository
docs/PHASE_F21_MASTER_REPORT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_MASTER_REPORT.md,Preserved in repository
docs/PHASE_F21_RESOURCE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_RESOURCE_AUDIT.md,Preserved in repository
docs/PHASE_F21_SUPERPOSITION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F21_SUPERPOSITION_AUDIT.md,Preserved in repository
docs/PHASE_F8_2X2_END_TO_END.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F8_2X2_END_TO_END.md,Preserved in repository
docs/PHASE_F8_SCIENTIFIC_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F8_SCIENTIFIC_AUDIT.md,Preserved in repository
docs/PHASE_F9_BASELINE_FREEZE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F9_BASELINE_FREEZE.md,Preserved in repository
docs/PHASE_F9_TRANSPARENCY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F9_TRANSPARENCY_AUDIT.md,Preserved in repository
docs/PHASE_F_COHERENT_PARAMETER_ORACLE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F_COHERENT_PARAMETER_ORACLE.md,Preserved in repository
docs/PHASE_F_COLLISION_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F_COLLISION_ARCHITECTURE.md,Preserved in repository
docs/PHASE_F_QUANTUM_CORE_REPORT.md,Documentation,ACTIVE,Implementation/documentation of PHASE_F_QUANTUM_CORE_REPORT.md,Preserved in repository
docs/QLBM_ARCHITECTURE_COMPARISON_MATRIX.md,Documentation,ACTIVE,Implementation/documentation of QLBM_ARCHITECTURE_COMPARISON_MATRIX.md,Preserved in repository
docs/QLBM_DIRECT_ENCODING_COLLISION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of QLBM_DIRECT_ENCODING_COLLISION_AUDIT.md,Preserved in repository
docs/QLBM_DIRECT_ENCODING_FOUNDATION.md,Documentation,ACTIVE,Implementation/documentation of QLBM_DIRECT_ENCODING_FOUNDATION.md,Preserved in repository
docs/QLBM_DIRECT_ENCODING_RESOURCE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of QLBM_DIRECT_ENCODING_RESOURCE_AUDIT.md,Preserved in repository
docs/QLBM_DIRECT_ENCODING_SCIENTIFIC_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of QLBM_DIRECT_ENCODING_SCIENTIFIC_AUDIT.md,Preserved in repository
docs/QLBM_DIRECT_ENCODING_STATE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of QLBM_DIRECT_ENCODING_STATE_AUDIT.md,Preserved in repository
docs/QLBM_ONE_NODE_COLLISION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of QLBM_ONE_NODE_COLLISION_AUDIT.md,Preserved in repository
docs/QLBM_PHASE1_EXECUTIVE_REPORT.md,Documentation,ACTIVE,Implementation/documentation of QLBM_PHASE1_EXECUTIVE_REPORT.md,Preserved in repository
docs/QLBM_PHASE2_ARITHMETIC_STREAMING.md,Documentation,ACTIVE,Implementation/documentation of QLBM_PHASE2_ARITHMETIC_STREAMING.md,Preserved in repository
docs/QLBM_QUANTUM_COLLISION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of QLBM_QUANTUM_COLLISION_AUDIT.md,Preserved in repository
hardware/__init__.py,Source Code,ACTIVE,Implementation/documentation of __init__.py,Preserved in repository
hardware/isa_transpile.py,Source Code,ACTIVE,Implementation/documentation of isa_transpile.py,Preserved in repository
hardware/preflight.py,Source Code,ACTIVE,Implementation/documentation of preflight.py,Preserved in repository
quantum/__init__.py,Source Code,ACTIVE,Implementation/documentation of __init__.py,Preserved in repository
quantum/arithmetic_streaming.py,Source Code,ACTIVE,Implementation/documentation of arithmetic_streaming.py,Preserved in repository
quantum/boundary_quantum.py,Source Code,ACTIVE,Implementation/documentation of boundary_quantum.py,Preserved in repository
quantum/carleman_collision.py,Source Code,ACTIVE,Implementation/documentation of carleman_collision.py,Preserved in repository
quantum/carleman_quantum.py,Source Code,ACTIVE,Implementation/documentation of carleman_quantum.py,Preserved in repository
quantum/carleman_two_phase_step.py,Source Code,ACTIVE,Implementation/documentation of carleman_two_phase_step.py,Preserved in repository
quantum/coherent_collision.py,Source Code,ACTIVE,Implementation/documentation of coherent_collision.py,Preserved in repository
quantum/coherent_force.py,Source Code,ACTIVE,Implementation/documentation of coherent_force.py,Preserved in repository
quantum/coherent_moments.py,Source Code,ACTIVE,Implementation/documentation of coherent_moments.py,Preserved in repository
quantum/coherent_parameter_oracle.py,Source Code,ACTIVE,Implementation/documentation of coherent_parameter_oracle.py,Preserved in repository
quantum/coherent_timestep.py,Source Code,ACTIVE,Implementation/documentation of coherent_timestep.py,Preserved in repository
quantum/coherent_velocity.py,Source Code,ACTIVE,Implementation/documentation of coherent_velocity.py,Preserved in repository
quantum/direct_two_phase_prototype.py,Source Code,ACTIVE,Implementation/documentation of direct_two_phase_prototype.py,Preserved in repository
quantum/f15_autonomous_solver.py,Source Code,ARCHIVE / REJECTED,Implementation/documentation of f15_autonomous_solver.py,F15 Carleman truncation closure failure artifact
quantum/f15_carleman_collision.py,Source Code,ARCHIVE / REJECTED,Implementation/documentation of f15_carleman_collision.py,F15 Carleman truncation closure failure artifact
quantum/f17_autonomous_solver.py,Source Code,EXPERIMENTAL / ARCHIVE,Implementation/documentation of f17_autonomous_solver.py,F17 reversible arithmetic prototype
quantum/f17_reversible_collision.py,Source Code,EXPERIMENTAL / ARCHIVE,Implementation/documentation of f17_reversible_collision.py,F17 reversible arithmetic prototype
quantum/f17_reversible_primitives.py,Source Code,EXPERIMENTAL / ARCHIVE,Implementation/documentation of f17_reversible_primitives.py,F17 reversible arithmetic prototype
quantum/f19_compute_output.py,Source Code,ACTIVE,Implementation/documentation of f19_compute_output.py,Preserved in repository
quantum/f19_environment.py,Source Code,ACTIVE,Implementation/documentation of f19_environment.py,Preserved in repository
quantum/f19_mode_retention.py,Source Code,ACTIVE,Implementation/documentation of f19_mode_retention.py,Preserved in repository
quantum/f19_solver.py,Source Code,ACTIVE,Implementation/documentation of f19_solver.py,Preserved in repository
quantum/f19_superposition.py,Source Code,ACTIVE,Implementation/documentation of f19_superposition.py,Preserved in repository
quantum/f20_channel.py,Source Code,ACTIVE,Implementation/documentation of f20_channel.py,Preserved in repository
quantum/f20_choi.py,Source Code,ACTIVE,Implementation/documentation of f20_choi.py,Preserved in repository
quantum/f20_entanglement.py,Source Code,ACTIVE,Implementation/documentation of f20_entanglement.py,Preserved in repository
quantum/f20_environment.py,Source Code,ACTIVE,Implementation/documentation of f20_environment.py,Preserved in repository
quantum/f20_fixed_point.py,Source Code,ACTIVE,Implementation/documentation of f20_fixed_point.py,Preserved in repository
quantum/f20_kraus.py,Source Code,ACTIVE,Implementation/documentation of f20_kraus.py,Preserved in repository
quantum/f20_multistep.py,Source Code,ACTIVE,Implementation/documentation of f20_multistep.py,Preserved in repository
quantum/f20_solver.py,Source Code,ACTIVE,Implementation/documentation of f20_solver.py,Preserved in repository
quantum/f20_superposition.py,Source Code,ACTIVE,Implementation/documentation of f20_superposition.py,Preserved in repository
quantum/f21_channel.py,Source Code,ACTIVE,Implementation/documentation of f21_channel.py,Preserved in repository
quantum/f21_csf.py,Source Code,ACTIVE,Implementation/documentation of f21_csf.py,Preserved in repository
quantum/f21_curvature.py,Source Code,ACTIVE,Implementation/documentation of f21_curvature.py,Preserved in repository
quantum/f21_environment.py,Source Code,ACTIVE,Implementation/documentation of f21_environment.py,Preserved in repository
quantum/f21_fixed_point.py,Source Code,ACTIVE,Implementation/documentation of f21_fixed_point.py,Preserved in repository
quantum/f21_force.py,Source Code,ACTIVE,Implementation/documentation of f21_force.py,Preserved in repository
quantum/f21_gradient.py,Source Code,ACTIVE,Implementation/documentation of f21_gradient.py,Preserved in repository
quantum/f21_norm.py,Source Code,ACTIVE,Implementation/documentation of f21_norm.py,Preserved in repository
quantum/f21_solver.py,Source Code,ACTIVE,Implementation/documentation of f21_solver.py,Preserved in repository
quantum/f22_channel_solver.py,Source Code,ACTIVE,Implementation/documentation of f22_channel_solver.py,Preserved in repository
quantum/f22_entanglement_superposition.py,Source Code,ACTIVE,Implementation/documentation of f22_entanglement_superposition.py,Preserved in repository
quantum/f22_environment.py,Source Code,ACTIVE,Implementation/documentation of f22_environment.py,Preserved in repository
quantum/f22_mass_conservation.py,Source Code,ACTIVE,Implementation/documentation of f22_mass_conservation.py,Preserved in repository
quantum/f22_precision.py,Source Code,ACTIVE,Implementation/documentation of f22_precision.py,Preserved in repository
quantum/f22_quantum_state.py,Source Code,ACTIVE,Implementation/documentation of f22_quantum_state.py,Preserved in repository
quantum/f22_stinespring.py,Source Code,ACTIVE,Implementation/documentation of f22_stinespring.py,Preserved in repository
quantum/f23_arbitrary_density_matrix.py,Source Code,ACTIVE,Implementation/documentation of f23_arbitrary_density_matrix.py,Preserved in repository
quantum/f23_environment_semantics.py,Source Code,ACTIVE,Implementation/documentation of f23_environment_semantics.py,Preserved in repository
quantum/f23_equivalence_engine.py,Source Code,ACTIVE,Implementation/documentation of f23_equivalence_engine.py,Preserved in repository
quantum/f23_positivity_guard.py,Source Code,ACTIVE,Implementation/documentation of f23_positivity_guard.py,Preserved in repository
quantum/f24_call_graph_forensics.py,Source Code,ACTIVE,Implementation/documentation of f24_call_graph_forensics.py,Preserved in repository
quantum/f24_independent_reference.py,Source Code,ACTIVE,Implementation/documentation of f24_independent_reference.py,Preserved in repository
quantum/f24_momentum_audit.py,Source Code,ACTIVE,Implementation/documentation of f24_momentum_audit.py,Preserved in repository
quantum/f24_resource_audit.py,Source Code,ACTIVE,Implementation/documentation of f24_resource_audit.py,Preserved in repository
quantum/f25_gate_resource_model.py,Source Code,ACTIVE,Implementation/documentation of f25_gate_resource_model.py,Preserved in repository
quantum/f25_reversible_primitives.py,Source Code,ACTIVE,Implementation/documentation of f25_reversible_primitives.py,Preserved in repository
quantum/f25_scaling_analysis.py,Source Code,ACTIVE,Implementation/documentation of f25_scaling_analysis.py,Preserved in repository
quantum/f26_optimized_bgk.py,Source Code,ACTIVE,Implementation/documentation of f26_optimized_bgk.py,Preserved in repository
quantum/f26_pareto_analysis.py,Source Code,ACTIVE,Implementation/documentation of f26_pareto_analysis.py,Preserved in repository
quantum/f26_workspace_scheduler.py,Source Code,ACTIVE,Implementation/documentation of f26_workspace_scheduler.py,Preserved in repository
quantum/f27_circuit_ir.py,Source Code,ACTIVE / VALIDATED,Implementation/documentation of f27_circuit_ir.py,Gate-level scalable reversible QLBM architecture
